epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,15863.9,1.08754,1.08698,0.00827,0.60865,0.60153,0.60305,0.41684,1.13976,1.40642,0.01372,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,16128.1,1.07833,1.07073,0.00828,0.58692,0.6114,0.60355,0.41865,1.1398,1.41327,0.01375,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,16412.2,1.08511,1.07101,0.00831,0.61459,0.60125,0.6051,0.42204,1.12734,1.43335,0.01356,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,16681.7,1.073,1.05887,0.00812,0.60866,0.59277,0.60338,0.42165,1.14462,1.43247,0.0137,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,16952.5,1.06958,1.06047,0.00811,0.63267,0.58728,0.60558,0.42296,1.11931,1.45081,0.01332,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,17222.8,1.0731,1.05473,0.00824,0.59932,0.58571,0.59629,0.41512,1.12644,1.46875,0.01358,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,17496.8,1.06583,1.05004,0.00801,0.60684,0.589,0.59508,0.41849,1.13713,1.45107,0.01371,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,17763.4,1.05742,1.04095,0.00799,0.6035,0.58884,0.59235,0.41438,1.12663,1.46938,0.01358,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,18027.9,1.05476,1.03611,0.00793,0.65464,0.54337,0.5997,0.41985,1.12959,1.45549,0.01357,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,18298.1,1.05421,1.0274,0.008,0.58868,0.60066,0.60284,0.42108,1.12527,1.46959,0.01351,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,18573.9,1.0571,1.01926,0.00794,0.61183,0.58518,0.59547,0.42208,1.12338,1.47106,0.01353,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,18848.6,1.03883,1.0188,0.00781,0.61783,0.57789,0.58962,0.41656,1.12463,1.48287,0.01352,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,19123.3,1.03547,1.00802,0.00779,0.61333,0.59361,0.59179,0.41621,1.11227,1.50853,0.01336,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,19397.9,1.02443,0.98568,0.00775,0.63599,0.56424,0.58777,0.41762,1.10877,1.50257,0.01328,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,19672,1.02735,0.9869,0.00771,0.59086,0.60407,0.59204,0.41853,1.11258,1.50286,0.01341,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,19946.4,1.02899,0.97302,0.00765,0.61768,0.58893,0.5926,0.41847,1.10578,1.52604,0.01339,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,20221.8,1.02385,0.97677,0.00761,0.63837,0.57135,0.5881,0.41386,1.10699,1.53945,0.01332,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
